year,type(J-D,D-N),value
1880,1,-0.19
1880,2,-0.145
1881,1,-0.1
1881,2,-0.11
1882,1,-0.11
1882,2,-0.1
1883,1,-0.19
1883,2,-0.2
1884,1,-0.29
1884,2,-0.28
1885,1,-0.31
1885,2,-0.33
1886,1,-0.32
1886,2,-0.3
1887,1,-0.35
1887,2,-0.35
1888,1,-0.18
1888,2,-0.2
1889,1,-0.11
1889,2,-0.09
1890,1,-0.38
1890,2,-0.38
1891,1,-0.25
1891,2,-0.27
1892,1,-0.27
1892,2,-0.24
1893,1,-0.32
1893,2,-0.33
1894,1,-0.32
1894,2,-0.33
1895,1,-0.23
1895,2,-0.24
1896,1,-0.12
1896,2,-0.13
1897,1,-0.12
1897,2,-0.11
1898,1,-0.29
1898,2,-0.28
1899,1,-0.19
1899,2,-0.19
1900,1,-0.1
1900,2,-0.11
1901,1,-0.16
1901,2,-0.14
1902,1,-0.3
1902,2,-0.28
1903,1,-0.39
1903,2,-0.38
1904,1,-0.5
1904,2,-0.51
1905,1,-0.29
1905,2,-0.31
1906,1,-0.23
1906,2,-0.23
1907,1,-0.4
1907,2,-0.37
1908,1,-0.44
1908,2,-0.44
1909,1,-0.48
1909,2,-0.48
1910,1,-0.43
1910,2,-0.43
1911,1,-0.42
1911,2,-0.46
1912,1,-0.36
1912,2,-0.34
1913,1,-0.35
1913,2,-0.39
1914,1,-0.16
1914,2,-0.15
1915,1,-0.12
1915,2,-0.11
1916,1,-0.33
1916,2,-0.27
1917,1,-0.44
1917,2,-0.45
1918,1,-0.28
1918,2,-0.31
1919,1,-0.26
1919,2,-0.25
1920,1,-0.25
1920,2,-0.25
1921,1,-0.17
1921,2,-0.19
1922,1,-0.26
1922,2,-0.26
1923,1,-0.24
1923,2,-0.25
1924,1,-0.25
1924,2,-0.22
1925,1,-0.21
1925,2,-0.25
1926,1,-0.09
1926,2,-0.06
1927,1,-0.2
1927,2,-0.2
1928,1,-0.19
1928,2,-0.2
1929,1,-0.35
1929,2,-0.32
1930,1,-0.14
1930,2,-0.18
1931,1,-0.1
1931,2,-0.1
1932,1,-0.17
1932,2,-0.15
1933,1,-0.29
1933,2,-0.28
1934,1,-0.14
1934,2,-0.17
1935,1,-0.2
1935,2,-0.19
1936,1,-0.16
1936,2,-0.17
1937,1,-0.04
1937,2,-0.03
1938,1,-0.03
1938,2,-0.02
1939,1,-0.03
1939,2,-0.08
1940,1,0.11
1940,2,0.13
1941,1,0.18
1941,2,0.19
1942,1,0.05
1942,2,0.07
1943,1,0.07
1943,2,0.06
1944,1,0.21
1944,2,0.22
1945,1,0.09
1945,2,0.1
1946,1,-0.07
1946,2,-0.05
1947,1,-0.04
1947,2,-0.05
1948,1,-0.11
1948,2,-0.1
1949,1,-0.11
1949,2,-0.11
1950,1,-0.18
1950,2,-0.19
1951,1,-0.06
1951,2,-0.09
1952,1,0.01
1952,2,0.02
1953,1,0.07
1953,2,0.07
1954,1,-0.14
1954,2,-0.12
1955,1,-0.14
1955,2,-0.14
1956,1,-0.2
1956,2,-0.22
1957,1,0.05
1957,2,0.03
1958,1,0.07
1958,2,0.08
1959,1,0.03
1959,2,0.03
1960,1,-0.02
1960,2,-0.04
1961,1,0.06
1961,2,0.08
1962,1,0.04
1962,2,0.03
1963,1,0.07
1963,2,0.07
1964,1,-0.2
1964,2,-0.17
1965,1,-0.1
1965,2,-0.12
1966,1,-0.05
1966,2,-0.05
1967,1,-0.02
1967,2,-0.02
1968,1,-0.08
1968,2,-0.07
1969,1,0.07
1969,2,0.03
1970,1,0.03
1970,2,0.06
1971,1,-0.09
1971,2,-0.1
1972,1,0.01
1972,2,-0.01
1973,1,0.16
1973,2,0.18
1974,1,-0.09
1974,2,-0.08
1975,1,-0.02
1975,2,-0.01
1976,1,-0.11
1976,2,-0.13
1977,1,0.17
1977,2,0.17
1978,1,0.06
1978,2,0.05
1979,1,0.16
1979,2,0.13
1980,1,0.27
1980,2,0.29
1981,1,0.33
1981,2,0.31
1982,1,0.13
1982,2,0.13
1983,1,0.31
1983,2,0.33
1984,1,0.16
1984,2,0.18
1985,1,0.12
1985,2,0.1
1986,1,0.18
1986,2,0.18
1987,1,0.33
1987,2,0.3
1988,1,0.4
1988,2,0.42
1989,1,0.29
1989,2,0.28
1990,1,0.44
1990,2,0.43
1991,1,0.41
1991,2,0.42
1992,1,0.22
1992,2,0.23
1993,1,0.24
1993,2,0.24
1994,1,0.31
1994,2,0.29
1995,1,0.44
1995,2,0.45
1996,1,0.34
1996,2,0.32
1997,1,0.47
1997,2,0.45
1998,1,0.62
1998,2,0.62
1999,1,0.4
1999,2,0.41
2000,1,0.4
2000,2,0.41
2001,1,0.54
2001,2,0.51
2002,1,0.62
2002,2,0.63
2003,1,0.61
2003,2,0.59
2004,1,0.54
2004,2,0.56
2005,1,0.68
2005,2,0.66
2006,1,0.62
2006,2,0.61
2007,1,0.64
2007,2,0.67
2008,1,0.52
2008,2,0.51
2009,1,0.64
2009,2,0.63
2010,1,0.7
2010,2,0.72
2011,1,0.59
2011,2,0.58
2012,1,0.62
2012,2,0.62
2013,1,0.65
2013,2,0.64
2014,1,0.73
2014,2,0.72
2015,1,0.87
2015,2,0.84
2016,1,0.99
2016,2,1.02
2017,1,1.02
2017,2,1.02
